participant_id,sample_id,groove_quality,coherence,variety
4-9-2026_16:50:11,transformer_sample_1,3,4,3
4-9-2026_17:54:55,transformer_sample_1,3,3,2
4-9-2026_19:12:25,transformer_sample_1,4,5,5
4-13-2026_13:28:24,transformer_sample_1,4,3,3
4-13-2026_13:31:35,transformer_sample_1,4,2,2
4-13-2026_13:34:18,transformer_sample_1,3,4,3
4-13-2026_13:36:05,transformer_sample_1,4,3,3
4-13-2026_13:45:45,transformer_sample_1,4,3,3
4-13-2026_13:48:11,transformer_sample_1,3,3,2
4-13-2026_13:49:35,transformer_sample_1,3,2,2
4-9-2026_16:50:11,transformer_sample_2,4,3,3
4-9-2026_17:54:55,transformer_sample_2,3,2,2
4-9-2026_19:12:25,transformer_sample_2,3,4,4
4-13-2026_13:28:24,transformer_sample_2,5,5,1
4-13-2026_13:31:35,transformer_sample_2,5,4,2
4-13-2026_13:34:18,transformer_sample_2,5,2,2
4-13-2026_13:36:05,transformer_sample_2,5,4,1
4-13-2026_13:45:45,transformer_sample_2,5,5,2
4-13-2026_13:48:11,transformer_sample_2,5,3,2
4-13-2026_13:49:35,transformer_sample_2,5,4,2
4-9-2026_16:50:11,transformer_sample_3,2,4,3
4-9-2026_17:54:55,transformer_sample_3,3,3,2
4-9-2026_19:12:25,transformer_sample_3,2,4,2
4-13-2026_13:28:24,transformer_sample_3,5,4,3
4-13-2026_13:31:35,transformer_sample_3,5,4,3
4-13-2026_13:34:18,transformer_sample_3,2,4,3
4-13-2026_13:36:05,transformer_sample_3,5,3,3
4-13-2026_13:45:45,transformer_sample_3,5,4,3
4-13-2026_13:48:11,transformer_sample_3,3,3,3
4-13-2026_13:49:35,transformer_sample_3,5,4,3
4-9-2026_16:50:11,transformer_sample_4,4,3,5
4-9-2026_17:54:55,transformer_sample_4,3,3,2
4-9-2026_19:12:25,transformer_sample_4,2,3,2
4-13-2026_13:28:24,transformer_sample_4,5,5,4
4-13-2026_13:31:35,transformer_sample_4,5,5,4
4-13-2026_13:34:18,transformer_sample_4,4,3,5
4-13-2026_13:36:05,transformer_sample_4,5,5,4
4-13-2026_13:45:45,transformer_sample_4,5,5,4
4-13-2026_13:48:11,transformer_sample_4,3,3,2
4-13-2026_13:49:35,transformer_sample_4,5,5,4
4-9-2026_16:50:11,transformer_sample_5,4,4,4
4-9-2026_17:54:55,transformer_sample_5,4,4,3
4-9-2026_19:12:25,transformer_sample_5,3,4,3
4-13-2026_13:28:24,transformer_sample_5,4,2,1
4-13-2026_13:31:35,transformer_sample_5,4,3,2
4-13-2026_13:34:18,transformer_sample_5,4,4,3
4-13-2026_13:36:05,transformer_sample_5,4,2,1
4-13-2026_13:45:45,transformer_sample_5,4,3,3
4-13-2026_13:48:11,transformer_sample_5,5,4,3
4-13-2026_13:49:35,transformer_sample_5,4,3,2
4-9-2026_16:50:11,transformer_sample_6,4,3,4
4-9-2026_17:54:55,transformer_sample_6,4,4,4
4-9-2026_19:12:25,transformer_sample_6,4,3,2
4-13-2026_13:28:24,transformer_sample_6,3,5,2
4-13-2026_13:31:35,transformer_sample_6,2,5,3
4-13-2026_13:34:18,transformer_sample_6,4,3,4
4-13-2026_13:36:05,transformer_sample_6,3,5,2
4-13-2026_13:45:45,transformer_sample_6,3,5,3
4-13-2026_13:48:11,transformer_sample_6,4,4,4
4-13-2026_13:49:35,transformer_sample_6,4,4,2
4-9-2026_16:50:11,transformer_sample_7,3,4,5
4-9-2026_17:54:55,transformer_sample_7,3,3,2
4-9-2026_19:12:25,transformer_sample_7,3,2,3
4-13-2026_13:28:24,transformer_sample_7,4,4,2
4-13-2026_13:31:35,transformer_sample_7,4,4,2
4-13-2026_13:34:18,transformer_sample_7,3,4,5
4-13-2026_13:36:05,transformer_sample_7,4,4,2
4-13-2026_13:45:45,transformer_sample_7,4,4,2
4-13-2026_13:48:11,transformer_sample_7,3,3,2
4-13-2026_13:49:35,transformer_sample_7,5,4,3
4-9-2026_16:50:11,transformer_sample_8,4,5,5
4-9-2026_17:54:55,transformer_sample_8,3,3,3
4-9-2026_19:12:25,transformer_sample_8,2,3,2
4-13-2026_13:28:24,transformer_sample_8,5,4,3
4-13-2026_13:31:35,transformer_sample_8,5,4,3
4-13-2026_13:34:18,transformer_sample_8,4,5,5
4-13-2026_13:36:05,transformer_sample_8,5,4,3
4-13-2026_13:45:45,transformer_sample_8,5,4,3
4-13-2026_13:48:11,transformer_sample_8,4,3,4
4-13-2026_13:49:35,transformer_sample_8,4,3,4
4-9-2026_16:50:11,transformer_sample_9,4,5,4
4-9-2026_17:54:55,transformer_sample_9,3,3,2
4-9-2026_19:12:25,transformer_sample_9,1,3,3
4-13-2026_13:28:24,transformer_sample_9,5,3,5
4-13-2026_13:31:35,transformer_sample_9,5,3,4
4-13-2026_13:34:18,transformer_sample_9,5,5,3
4-13-2026_13:36:05,transformer_sample_9,5,3,4
4-13-2026_13:45:45,transformer_sample_9,4,4,5
4-13-2026_13:48:11,transformer_sample_9,3,3,2
4-13-2026_13:49:35,transformer_sample_9,5,3,4
4-9-2026_16:50:11,transformer_sample_10,3,3,2
4-9-2026_17:54:55,transformer_sample_10,4,4,5
4-9-2026_19:12:25,transformer_sample_10,3,4,3
4-13-2026_13:28:24,transformer_sample_10,5,3,4
4-13-2026_13:31:35,transformer_sample_10,5,3,4
4-13-2026_13:34:18,transformer_sample_10,4,3,3
4-13-2026_13:36:05,transformer_sample_10,5,3,4
4-13-2026_13:45:45,transformer_sample_10,5,2,4
4-13-2026_13:48:11,transformer_sample_10,4,4,5
4-13-2026_13:49:35,transformer_sample_10,5,3,4
