sample_id,density,empty_step_ratio,repetition_16,kick_rate,snare_rate,hihat_rate,tom_rate,crash_rate,ride_rate,simultaneous_hits_ratio,pattern_change_rate,strong_beat_density,offbeat_density,target_reward_z,pred_reward_z_train,pred_reward_z_loo
transformer_sample_10,0.14485677,0.328125,0.03125,0.27148438,0.30859375,0.28320312,0.005859375,0.0,0.0,0.18359375,0.8747554,0.15625,0.14583333,1.3550208495550993,0.32617324704048783,-0.15542303228551038
transformer_sample_2,0.17024739,0.19140625,0.03125,0.16601562,0.50390625,0.34375,0.00390625,0.001953125,0.001953125,0.20117188,0.8708415,0.17447917,0.17708333,0.9730500532502976,0.3369477381239118,-0.5214529607427385
transformer_sample_4,0.13541667,0.33789062,0.03125,0.13671875,0.5410156,0.13476562,0.0,0.0,0.0,0.14453125,0.8414873,0.14322917,0.15234375,0.9607544469912772,0.37764348586579644,0.07907557501729313
transformer_sample_8,0.1328125,0.30078125,0.03125,0.119140625,0.484375,0.19140625,0.001953125,0.0,0.0,0.095703125,0.81996083,0.13671875,0.13932292,0.8206924459845784,0.23973223871196553,-0.00881537776496348
transformer_sample_9,0.14876302,0.29882812,0.03125,0.38671875,0.28125,0.22265625,0.0,0.001953125,0.0,0.1796875,0.8806262,0.1796875,0.15755208,0.5391351353253717,0.9145199965245109,1.7680439560636365
transformer_sample_5,0.21191406,0.12890625,0.03125,0.38085938,0.24414062,0.6464844,0.0,0.0,0.0,0.390625,0.91193736,0.20442708,0.20963542,-0.21095791411992615,-0.3696314087002042,-0.4663955170336043
transformer_sample_3,0.11686198,0.36914062,0.03125,0.09375,0.49023438,0.10546875,0.01171875,0.0,0.0,0.0703125,0.81604695,0.13020833,0.1171875,-0.7049577692158311,0.370468541877812,0.9957577989820396
transformer_sample_7,0.27929688,0.029296875,0.03125,0.41210938,0.39648438,0.86328125,0.00390625,0.0,0.0,0.6660156,0.9138943,0.28125,0.26953125,-1.0851954235796868,-0.9866472837721034,-0.6805349371899838
transformer_sample_6,0.21321614,0.099609375,0.03125,0.2109375,0.796875,0.20507812,0.0546875,0.0,0.01171875,0.34960938,0.7886497,0.21484375,0.22265625,-1.0935715007128386,-1.0045886050106914,2.9324355409761154
transformer_sample_1,0.1686198,0.1796875,0.03125,0.18945312,0.39453125,0.42773438,0.0,0.0,0.0,0.18554688,0.8864971,0.16796875,0.17838542,-1.5539703234783415,-0.20461795066148564,0.4002813621983157
